团购内容
90分钟黄金时段无限畅打
羽毛球
单次卡
康博健身两店通用单次体验卡
单次体验
晨练卡
游泳特价体验
羽毛球场地2小时
羽毛球场地券（午市）
羽毛球场地券
周卡

搏击单次体验卡

黑⑧
室内篮球场地不限时单人体验
羽毛球单场
桌球2小时
黑八服务区2小时买断
单次体验卡
新概念体育运动中心周卡
3次体验券

代金券
羽毛球场地
健身半年卡
健身月卡
健身周卡
健身卡
体验卡
单次游泳健身
单次体验套餐
单次体验
博奥绿色主题健身中心
单人单次健身体验卡
体能测试（评估检测身体健康水平及运动处方）
精度射击
羽毛球周末场地
私教一对一塑形课（2节）
一对一私人教练课程套餐

健身单次体验
私教一对一课程体验1次
热带舞蹈月卡通卡
儿童游泳
单次健身游泳
自助训练次卡
单人精品私教体验课套餐
健身单次卡
月卡套餐

搏击私教体验卡
单人室内骑马+观赏门票
4周年庆
新武会跆拳道体验课
羽毛球场地畅玩

网球单人次卡
跆拳道月卡
孕前准备产后训练计划
TECH精准订制课程
羽毛球场地
健身季卡

所有瑜伽课程体验

羽毛球

跆拳道
健身体验卡
双人射箭套餐
暑期青少儿武术特训营

健身月卡
七次体验+1节私教课程+体测一次
七次体验+1节私教课程
6次体验卡

TECH肩颈腰背损伤功能性训练课程
单人单次体验卡
运动专享课

明星教练1对1产后恢复形体重塑课
单次健身游泳


MFT格斗课程训练计划
新人特惠私教初体验
单次卡
单人MF格斗课程套餐
健身月卡
跆拳道体适能
博剑跆拳道俱乐部单人跆拳道月卡
DF肩颈腰背训练课程
健身私教1对1单次体验
圣珈瑜伽周卡1张
限量周卡
健身月卡

健身月卡
单人单次健身
1对1私教健身体验课
周卡1张
体验课
明星教练1对1体测及数据分析+私教体验课
私人教练单次体验卡
9.9元体验卡
套餐
1708私人健身体验课
单次体验卡

CrossFit 次卡
月卡
季度卡
健君健身单次体验卡
跆拳道课程月卡体验套餐
单次灵动体验课
艺迦瑜伽单次体验卡
单次健身加游泳体验
单次体验卡
月卡
健身月卡
健身月卡
高级私人教练体验课
体验卡
周卡
上健健身单人私教套餐
一对一私教（健身体验）
明星教练1对1极速燃脂课
私教体验课程
明星教练1对1超强增肌课
单人私教一对一健身课程
肌肉筋膜松解术（5次）
周卡+体测1次
雄风马术观赏园门票
力源健身会员卡一月卡
单人月卡
代金券
代金券
瑞森曼健身俱乐部单次体验卡
健身游泳瑜伽舞蹈单次体验卡
博奥绿色主题健身中心
单次体验卡
潮庭健身体验卡
单次体验
代金券

场地骑马（45分钟）
四海连成健身俱乐部月卡




私教体验课一次
IDO高级健身-港/单次体验（少儿武术）
时空隧道项目体验
单人不限时畅玩
V力健身极速瘦身
单人一+二进阶训练高级私教健身课程
单人一+二进阶训练高级私教健身课程
私教体验课

代金券

跆拳道体验卡
次卡
羽毛球场地
单次体验卡
单人初次体验卡
马术体验
桌球
瑜伽体验
双次体验卡
健身
自由骑程

成人舞蹈体验课两节
普通体适能套餐
美美健身体验周卡

健身自由训练
单人成人搏击体验卡
棋牌包间
特色中式足道
1708私人健身体验课
单次健身体卡
一对一私教
四次体验课


DNA Muscle功能性小团体课程
羽毛球早场畅打一小时
运动吧健身
一对一私教课
代金券
健身体验月卡
体验卡
健身私教周卡
inbody体测与分析+FMS运动动作筛查评估

健康体验
私教健身体验
网球单人15次卡
亲子射箭套餐（一家3口）
中式台球2小时
单人1对1私教体验课程
单人1对1私教体验课程
单次私教体验课

格斗私教课程
黑八

乒乓球黄金场2小时
单次体验卡
跆拳道3次体验套餐
跆拳道单次体验
跆拳道体验课

跆拳道体验
跆拳道试听课


跆拳道
单人全时段健身体验单次套餐
单人全时段健身体验单次套餐
单人全时段健身体验单次套餐
单人全时段健身体验单次套餐
单人全时段健身体验单次套餐
单人全时段健身体验单次套餐
单人全时段健身体验单次套餐
单人全时段健身体验单次套餐
古德菲力健身(西安益田假日店)
单人一对一超速美臀私教体验课
单人一对一超速美臀私教体验课
室内篮球场地半场包场卷（2小时）
健身单人券
棋牌
武术套路4次体验卡
散打4次体验卡
外教搏击体验课
跆拳道3次体验课
单人一对一女性维秘身材瘦身塑形课程一节
舞蹈体验课
棋牌包间买断
篮球包场（半场）

一对一极速马甲线翘臀塑形课程

健身单次卡
台球
羽毛球晨练月卡
代金券
单人一对一拳击格斗课
单人一对一拳击格斗课
高级私人健身单次体验
单人私教1对1体验
单人全时段单次健身套餐
代金券
西安拳皇散打跆拳道50代100超值代金券
健身季卡
单次体验
三次课程体验卡
跆拳道单次体验卡
跆拳道3次体验课
三次课程体验卡
跆拳道体验卡
黑八
一对一私教

大圈骑马（约650米）

IDO高级健身-港/单次体验（搏击）
IDO健身-港（私人订制）单次体验
健身体验卡
一对一格斗健身课程
3小时黄金时段无限畅打
瑜伽3次卡
羽毛球畅打
私教体验课
四海连成超值体验课8节
普拉提大器械
VIP单人一对一急速减脂课程

缘静瑜伽周卡
拳击俱乐部体验周卡
拳击散打一对一课程

月卡
跆拳道单次体验
泰拳搏击单次体验
DF一对一私教课程
DF孕前准备及产后恢复计划
一对一身体姿态矫正课程


限时黑八
燃脂训练课程
羽毛球
少儿武术单次体验
黑⑧
产后修复
急速瘦身
型男塑造


巴西柔术单次体验
武术散打单次体验
篮球单人单次体验
咏春单次体验卡
场地骑马1圈（约1.5公里）
尊贵私教体验课1次
武术套路单次体验卡
散打单次体验卡

体适能测试+定制体能循环训练
CG乐动健身单次体验卡
VIP单人一对一速成美臀私教体验课
羽毛球单人下午场
桌球
黑8桌球
私人订制健身课程套餐
体位评估
欢唱三小时
周卡
单次体验卡
工作日羽毛球场地一小时畅打
羽毛球上午场

黑八
各项目单次体验课
欢唱3小时
篮球单人畅打
桌球1小时套餐
世他SY678
小圈骑马（约160米））
中式黑八标准赛台畅打
黑八两小时
台球
黑八桌球
单次体验卡
私人训练会馆健身次卡

白鹿原马术俱乐部门票
代金券

月卡
斯诺克桌球
乒乓球2小时
单人全天畅打
运动健身单次体验卡
台球
艺术体操+快乐体操体验课
足球包场2小时
单人体验私教课程

羽毛球畅打
中式台球包间1小时
黑八
单次体验卡
单次体验卡
中式八球
黑八套餐
篮球半场预定
桌球
篮球包半场
棋牌4小时
黑八2小时
马甲线训练营单人体验卷
节假日羽毛球场地一小时畅打
单次健身
跆拳道体验课
乒乓球场地券
艺迦瑜伽空中瑜伽加高温瑜伽单次体验卡


普通黑八2小时套餐
力龙跆拳道两节跆拳道体验课程
黑8桌球
网球成人/儿童普通班 （1节课）
桌球2小时
羽毛球节假日畅打
黑8
排球包场
斯伯丁74-414篮球
主场篮球月卡套餐
黑八台球2小时
艺术体操/快乐体操体验课
成人肚皮舞年级课程
振勇体育·足球青训兴趣班体验券
JOY乔氏标准台
瑜伽双月卡
黑八

CVB儿童轮滑鞋
瑜伽单次卡
瑜伽周卡
儿童舞蹈体验课两节
单人单次塑形瑜伽体验卡
遇见瑜伽单人次卡
瑜伽单次体验
中式黑八
瑜伽体验
墨辰瑜伽三次体验卡
古琴体验
瑜伽单次体验
美森瑜伽舞蹈3次体验卡
悦生活瑜伽单次体验卡套餐
瑜伽体验次卡
3次体验课

普拉提瘦身塑形体验


瑜伽单次体验
风情肚皮舞
单次体验卡

体验卡
唯赢WD-806全碳素纤维一体羽拍
乔氏普台畅打
瑜伽单次团课体验
棋牌室
梵境瑜伽周卡
周体验卡
单人瑜伽周体验
足球全场包场2小时
篮球单人散场
唯赢WT-2002二星横拍
唯赢WT-2002二星竖拍
周卡
舞蹈兴趣班
爵士舞
斯诺克台球
羽毛球包场
桌球3小时套餐
单人周卡（舞蹈）体验
舞蹈课体验周卡
单人周卡（舞蹈）体验
肚皮舞体验周卡
拉丁舞3次体验卡套餐价
舞蹈健身
民族舞3次体验卡套餐
成人会员班 3次体验课
舞蹈体验课
肚皮舞
拉丁舞体验周卡
爵士舞体验周卡
