"shangpaishijian","licheng","biansu","zhouju","mali","tianchuang1","tianchuang2","zhenpizuoyi","daocheyingxiang","daocheleida","GPS","zhongdashigu","waiguan_neishi","yuanjia","baojia","ratio","SUV","紧凑型车","其他","小型车","中大型车","中型车","国四","国五","普通级轿车","微型轿车","中高级轿车","中级轿车","华晨宝马","其他.1","上汽大众","上汽集团","上汽通用别克","上汽通用雪佛兰","一汽.大众奥迪","长安福特"
5,3.63,"0",2656,150,"1","0","1","0","1","0","0","0",20,11.99,0.403382207959155,"0","1","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0","0"
15,0.64,"0",2570,150,"1","1","0","0","1","0","0","0",16.3,10.33,0.548305355727036,"1","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0"
29,7.26,"0",2850,181,"1","0","0","0","1","0","0","0",20.6,10.36,0.0116506172199748,"0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","0","0","0","1"
3,3.54,"0",2700,158,"1","0","1","1","1","0","0","0",18.4,13.28,0.953104704996872,"1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0"
46,11.49,"0",2812,160,"1","0","1","0","1","0","0","0",25.3,11.22,-0.227057450635346,"0","0","0","0","0","1","1","0","0","0","0","1","0","1","0","0","0","0","0","0"
33,5.18,"0",2737,184,"1","0","0","0","1","0","0","0",22.8,8.03,-0.609413568584618,"0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","1","0","0","0"
23,3.41,"0",2775,150,"1","0","0","0","0","0","0","0",19.5,12.07,0.485197176379773,"0","0","0","0","0","1","0","1","0","0","0","1","0","1","0","0","0","0","0","0"
14,4.6,"0",3108,245,"1","0","1","1","1","1","0","1",59.8,32.02,0.142044370242371,"0","0","0","0","1","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0"
33,6.46,"0",2635,150,"1","0","1","1","0","0","0","1",24.4,10.26,-0.320754820725803,"1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0"
16,0.37,"1",2390,99,"0","0","0","1","1","1","0","1",5.4,3.34,0.483264824187119,"1","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0"
56,8.98,"0",2795,165,"0","0","0","0","0","0","0","0",20.5,7.12,-0.630853329276198,"0","0","0","0","0","1","1","0","0","0","0","1","0","1","0","0","0","0","0","0"
33,9.23,"0",2750,144,"1","0","0","0","0","0","0","0",19.2,8.11,-0.312945933234954,"0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0"
18,8.14,"0",2685,121,"1","0","0","0","1","0","1","0",16.6,6.35,-0.478822892679817,"0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0"
7,0.55,"0",2775,167,"1","0","1","0","0","0","0","0",20.9,14.6,0.840471895316804,"0","0","0","0","0","1","0","1","0","0","0","1","0","1","0","0","0","0","0","0"
36,7.42,"0",2960,160,"0","0","1","1","1","1","1","0",16.7,5.15,-0.807688722292157,"0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0"
36,4.67,"0",2807,211,"1","1","1","1","1","1","0","0",52.3,22.61,-0.27241800248579,"1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","1","0"
1,2.9,"0",2815,147,"1","0","1","1","1","0","0","0",20.8,10.43,0.00576924677124514,"0","0","0","0","0","1","1","0","0","0","0","1","0","1","0","0","0","0","0","0"
6,2.38,"0",2648,125,"0","0","0","0","0","0","0","0",13.5,7.18,0.127580174901367,"0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","1"
6,0.71,"1",2700,118,"1","0","1","0","1","0","0","0",15.7,8.04,0.048417099438375,"0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0"
14,8.91,"0",3088,258,"1","1","1","1","1","1","0","0",43.4,20.45,-0.115335054017744,"0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0","0","0"
60,8.46,"0",2685,147,"1","0","0","0","1","0","0","0",14.9,4.11,-0.9651967507619,"0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0"
55,5.66,"1",2635,136,"0","0","0","0","0","0","0","0",12.7,4.01,-0.773381697958823,"0","1","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0"
52,7.42,"0",2712,200,"1","0","1","1","1","1","0","0",32.7,12.19,-0.520296628591109,"0","0","0","0","0","1","1","0","0","0","0","1","0","1","0","0","0","0","0","0"
36,5.65,"0",2469,122,"0","0","0","0","0","0","0","0",24.4,9.24,-0.495118494560633,"0","0","0","1","0","0","1","0","1","0","0","0","0","1","0","0","0","0","0","0"
33,7.26,"1",2651,105,"1","0","1","1","0","1","0","0",15.1,5.97,-0.424818767202366,"0","1","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0"
32,9.42,"0",2630,144,"0","0","0","1","0","0","0","0",17.9,6.8,-0.490022496136227,"1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0"
46,7.63,"0",2850,203,"1","0","1","0","1","0","0","0",23.6,6.77,-0.910661921278531,"0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","1"
18,5.61,"0",2706,186,"1","1","1","1","0","0","0","0",25.9,14.85,0.295569437284947,"1","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0"
17,2.3,"0",2700,128,"0","0","0","0","1","0","0","0",12.6,7.46,0.372502334748596,"0","1","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0"
32,6.66,"0",2710,147,"1","0","1","0","1","0","0","0",17,5.35,-0.778209619103794,"1","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0"
38,5.85,"0",2850,160,"0","0","0","0","0","0","0","0",19.5,6.72,-0.642793294414331,"0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","1"
2,4.59,"0",2699,156,"1","1","0","0","1","0","0","0",29.3,21,0.928266922920871,"1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0"
67,10.48,"0",2675,146,"1","0","0","0","0","0","0","0",19.5,4.79,-1.12199712319052,"0","0","0","0","0","1","1","0","0","0","0","1","0","1","0","0","0","0","0","0"
54,4.44,"1",2610,105,"0","0","0","0","0","0","0","0",12.2,4.03,-0.70670253291332,"0","1","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0"
32,8.13,"0",2807,271,"1","1","1","1","1","1","0","0",51,17.86,-0.618177436550064,"1","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0"
43,5.24,"0",2795,165,"1","0","1","0","1","0","0","0",20.6,7.35,-0.589297239207486,"0","0","0","0","0","1","1","0","0","0","0","1","0","1","0","0","0","0","0","0"
19,4.19,"0",2690,156,"1","0","0","1","0","1","0","0",17.4,6.97,-0.403071044240249,"0","1","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0"
36,7.53,"0",2837,186,"1","1","1","0","1","0","0","0",25.6,9.58,-0.514160349657444,"0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","1","0","0","0"
22,4.25,"0",2720,154,"0","0","0","0","0","0","0","0",14,5.27,-0.50473500729824,"0","1","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0"
34,8.11,"0",2648,125,"0","0","0","0","0","0","0","0",14.2,5.13,-0.569866604944367,"0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1"
55,8.03,"0",2760,258,"1","1","1","1","1","1","0","0",61.3,14.32,-1.18806481769827,"1","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0"
24,8.98,"0",2685,121,"1","0","1","0","0","0","0","0",14.2,5.41,-0.485365618838695,"0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0"
16,1.47,"0",2850,177,"1","1","0","0","1","0","0","1",14.4,8.74,0.434486297452352,"1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0"
27,4.54,"0",2640,165,"1","1","0","1","1","0","0","0",22.9,9.04,-0.427347819357672,"1","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0"
55,9.72,"0",2850,203,"1","0","1","0","1","0","1","0",21.7,6.13,-0.932151235897787,"0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","1"
32,2.77,"0",2620,155,"0","0","0","0","0","0","0","0",22.6,12.17,0.154287637986755,"1","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0"
0,5.98,"0",2700,177,"1","1","1","1","1","1","0","0",42.6,16.4,-0.468478075936899,"1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0"
59,9.23,"0",2850,203,"1","0","1","0","1","0","0","0",23.6,6.82,-0.900328229183689,"0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","1"
39,4.1,"1",2640,124,"0","0","0","0","0","0","0","1",10.8,3.91,-0.566533711028293,"0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1"
19,0.65,"0",2560,120,"1","0","0","0","1","0","0","0",9.1,5.93,0.626292625120445,"1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0"
66,8.39,"0",2678,116,"1","0","1","0","1","0","0","0",18.6,5.35,-0.906900991524316,"0","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0"
2,3.2,"0",2705,109,"0","0","0","1","1","1","0","0",27,12.13,-0.203664037516105,"0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0"
19,7.43,"0",2670,154,"1","0","1","1","1","1","0","0",22.8,9.79,-0.284356835981995,"0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0"
19,5.79,"0",2670,154,"1","0","1","1","1","1","1","0",22.8,9.23,-0.385402425332017,"0","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0"
20,0.85,"0",2475,275,"0","0","1","0","1","0","0","0",81.2,55,0.74157377446542,"0","0","1","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0"
1,2.64,"0",2933,306,"0","0","0","0","0","0","0","0",91,50.8,0.234029358959461,"1","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0"
10,7.5,"0",2898,211,"1","0","1","1","1","1","0","1",46.7,18.25,-0.44398308054384,"0","0","0","0","0","1","0","1","0","0","0","1","0","1","0","0","0","0","0","0"
16,1.29,"0",2950,224,"0","0","0","0","0","0","0","0",20.6,13.6,0.664159643686693,"1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0"
23,6.15,"0",2920,184,"1","0","1","1","1","1","0","0",43.7,19,-0.262364264467491,"0","0","0","0","0","1","0","1","0","0","0","1","1","0","0","0","0","0","0","0"
28,3.77,"0",2660,241,"1","1","0","0","0","0","0","0",68.2,30,-0.241638133950374,"1","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0"
2,6.44,"0",2803,180,"1","0","1","1","1","1","0","0",26.5,15.8,0.389766198565061,"0","0","0","0","0","1","0","1","0","0","0","1","0","0","1","0","0","0","0","0"
15,0.74,"1",2604,90,"0","0","0","0","0","0","0","1",8.7,6,0.798507696217772,"0","1","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0"
40,8.64,"0",2737,147,"1","0","1","0","1","0","0","1",22.1,7.25,-0.716998396382125,"0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","1","0","0","0"
75,19.25,"0",2890,185,"0","0","0","0","0","0","0","1",32.6,8,-1.12330490125848,"1","0","0","0","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0"
19,6.5,"0",2700,245,"1","1","1","1","1","0","0","0",33.6,13.7,-0.373323898896368,"1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0"
33,4.43,"0",2685,121,"0","0","0","1","0","1","0","1",16.6,5.5,-0.702197016079864,"0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0"
19,7.27,"0",3088,167,"0","0","0","0","0","0","0","1",22.7,10.3,-0.185552577375401,"0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0"
50,8.12,"1",2850,146,"0","0","0","0","0","0","0","0",18.4,5,-0.985816794522765,"0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","1"
49,10.22,"1",2680,133,"0","0","0","0","0","0","0","1",11.5,3.9,-0.667171694156685,"1","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0"
22,4.66,"1",2465,103,"0","0","0","0","0","0","0","1",7.2,2.4,-0.693147180559945,"0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","1","0","0"
25,0.79,"0",2837,150,"0","0","0","0","0","0","0","0",31.3,19,0.434839716788069,"0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","1","0","0","0","0"
16,7.02,"0",2737,184,"0","0","0","0","0","0","0","0",22.8,11,-0.0702042586732486,"0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","1","0","0","0"
44,6.39,"0",2761,160,"1","0","1","1","1","1","0","0",23.7,8,-0.674219170674426,"0","0","0","0","0","1","1","0","0","0","0","1","0","1","0","0","0","0","0","0"
11,3.43,"0",2590,125,"1","1","0","1","1","1","0","0",17,8.6,0.023530497410194,"1","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0"
28,4.94,"0",2690,177,"0","0","0","0","0","0","0","0",26,11,-0.310154928303839,"1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","1"
42,9.57,"0",2700,128,"1","0","1","0","1","0","0","1",14.4,5.8,-0.393904285707089,"0","1","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0"
51,5.71,"0",3088,258,"1","1","1","1","1","1","0","0",42.1,18.7,-0.224212498503115,"0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","1","0","0","0"
17,2.45,"0",2705,109,"1","0","1","1","1","1","1","0",28.2,9.8,-0.629968278938413,"0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0"
36,4.84,"0",2707,167,"1","0","1","0","1","1","0","0",22.8,9.2,-0.390866308687012,"1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0"
2,7.2,"0",2670,154,"1","0","1","1","1","1","0","0",23.9,10.8,-0.193066096076932,"0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0"
67,9.38,"0",2568,95,"0","0","0","0","0","0","0","0",25.8,7,-0.98794672078059,"0","1","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","0"
11,7.35,"0",3088,258,"0","0","0","0","0","0","0","0",40.2,21,0.0896121586896869,"0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","1","0","0","0"
26,6.97,"1",2640,124,"1","0","0","1","1","1","0","0",11.4,5,-0.246860077931526,"0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1"
