shangpaishijian,licheng,biansu,zhouju,pailiang,mali,tianchuang1,tianchuang2,zhenpizuoyi,daocheyingxiang,daocheleida,GPS,zhongdashigu,waiguan_neishi,yuanjia,baojia,paifang,changshang,cheshen_type
52,7.42,0,2712,2,200,1,0,1,1,1,1,0,0,32.7,12.19,国四,一汽-大众,中型车
36,5.65,0,2469,1.4,122,0,0,0,0,0,0,0,0,24.4,9.24,国四,奥迪(进口),小型车
33,7.26,1,2651,1.6,105,1,0,1,1,0,1,0,0,15.1,5.97,国四,一汽-大众,紧凑型车
32,9.42,0,2630,2,144,0,0,0,1,0,0,0,0,17.9,6.8,国五,东风日产,紧凑型SUV
46,7.63,0,2850,2,203,1,0,1,0,1,0,0,0,23.6,6.77,国四,长安福特,中型车
18,5.61,0,2706,2.5,186,1,1,1,1,0,0,0,0,25.9,14.85,国五,东风日产,紧凑型SUV
17,2.3,0,2700,1.6,128,0,0,0,0,1,0,0,0,12.6,7.46,国五,北京现代,紧凑型车
32,6.66,0,2710,2,147,1,0,1,0,1,0,0,0,17,5.35,国四,广汽乘用车,紧凑型SUV
38,5.85,0,2850,2.3,160,0,0,0,0,0,0,0,0,19.5,6.72,国四,长安福特,中型车
2,4.59,0,2699,1.6,156,1,1,0,0,1,0,0,0,29.3,21,国五,北京奔驰,紧凑型SUV
67,10.48,0,2675,2,146,1,0,0,0,0,0,0,0,19.5,4.79,国四,一汽马自达,中型车
54,4.44,1,2610,1.6,105,0,0,0,0,0,0,0,0,12.2,4.03,国四,上汽大众,紧凑型车
32,8.13,0,2807,3,271,1,1,1,1,1,1,0,0,51,17.86,国四,凯迪拉克(进口),中型SUV
43,5.24,0,2795,2,165,1,0,1,0,1,0,0,0,20.6,7.35,国四,北京现代,中型车
19,4.19,0,2690,1.6,156,1,0,0,1,0,1,0,0,17.4,6.97,国五,观致汽车,紧凑型车
36,7.53,0,2837,2.4,186,1,1,1,0,1,0,0,0,25.6,9.58,国五,上汽通用别克,中型车
22,4.25,0,2720,1.8,154,0,0,0,0,0,0,0,0,14,5.27,国四,东风裕隆,紧凑型车
34,8.11,0,2648,1.6,125,0,0,0,0,0,0,0,0,14.2,5.13,国四,长安福特,紧凑型车
55,8.03,0,2760,3,258,1,1,1,1,1,1,0,0,61.3,14.32,国四,宝马(进口),紧凑型SUV
24,8.98,0,2685,1.6,121,1,0,1,0,0,0,0,0,14.2,5.41,国四,上汽通用雪佛兰,紧凑型车
16,1.47,0,2850,1.8,177,1,1,0,0,1,0,0,1,14.4,8.74,国五,众泰汽车,中型SUV
27,4.54,0,2640,2,165,1,1,0,1,1,0,0,0,22.9,9.04,国四,北京现代,紧凑型SUV
55,9.72,0,2850,2,203,1,0,1,0,1,0,1,0,21.7,6.13,国四,长安福特,中型车
32,2.77,0,2620,2,155,0,0,0,0,0,0,0,0,22.6,12.17,国四,东风本田,紧凑型SUV
0,5.98,0,2700,2.4,177,1,1,1,1,1,1,0,0,42.6,16.4,国五,Jeep(进口),中型SUV
59,9.23,0,2850,2,203,1,0,1,0,1,0,0,0,23.6,6.82,国四,长安福特,中型车
39,4.1,1,2640,1.8,124,0,0,0,0,0,0,0,1,10.8,3.91,国四,长安福特,紧凑型车
19,0.65,0,2560,1.6,120,1,0,0,0,1,0,0,0,9.1,5.93,国五,江淮汽车,小型SUV
66,8.39,0,2678,2,116,1,0,1,0,1,0,0,0,18.6,5.35,国四,上汽大众,MPV
2,3.2,0,2705,1.5,109,0,0,0,1,1,1,0,0,27,12.13,国五,上汽集团,紧凑型车
19,7.43,0,2670,1.5,154,1,0,1,1,1,1,0,0,22.8,9.79,国五,比亚迪,紧凑型车
19,5.79,0,2670,1.5,154,1,0,1,1,1,1,1,0,22.8,9.23,国四,比亚迪,紧凑型车
20,0.85,0,2475,2.7,275,0,0,1,0,1,0,0,0,81.2,55,国五,保时捷,跑车
1,2.64,0,2933,3,306,0,0,0,0,0,0,0,0,91,50.8,国五,宝马(进口),中大型SUV
10,7.5,0,2898,2,211,1,0,1,1,1,1,0,1,46.7,18.25,国五,东风英菲尼迪,中型车
16,1.29,0,2950,2,224,0,0,0,0,0,0,0,0,20.6,13.6,国五,上汽大通,中大型SUV
23,6.15,0,2920,2,184,1,0,1,1,1,1,0,0,43.7,19,国五,华晨宝马,中型车
28,3.77,0,2660,2,241,1,1,0,0,0,0,0,0,68.2,30,国四,路虎(进口),中型SUV
2,6.44,0,2803,1.8,180,1,0,1,1,1,1,0,0,26.5,15.8,国五,上汽大众,中型车
15,0.74,1,2604,1.4,90,0,0,0,0,0,0,0,1,8.7,6,国五,一汽-大众,紧凑型车
40,8.64,0,2737,2,147,1,0,1,0,1,0,0,1,22.1,7.25,国四,上汽通用别克,中型车
75,19.25,0,2890,2.7,185,0,0,0,0,0,0,0,1,32.6,8,国四,道奇(进口),中型SUV
19,6.5,0,2700,2,245,1,1,1,1,1,0,0,0,33.6,13.7,国五,北京现代,中型SUV
33,4.43,0,2685,1.6,121,0,0,0,1,0,1,0,1,16.6,5.5,国四,上汽通用别克,紧凑型车
19,7.27,0,3088,2.4,167,0,0,0,0,0,0,0,1,22.7,10.3,国五,上汽通用别克,MPV
50,8.12,1,2850,2,146,0,0,0,0,0,0,0,0,18.4,5,国四,长安福特,中型车
49,10.22,1,2680,2,133,0,0,0,0,0,0,0,1,11.5,3.9,国四,长城汽车,紧凑型SUV
22,4.66,1,2465,1.4,103,0,0,0,0,0,0,0,1,7.2,2.4,国四,上汽通用雪佛兰,小型车
25,0.79,0,2837,1.4,150,0,0,0,0,0,0,0,0,31.3,19,国五,上汽集团,中型车
16,7.02,0,2737,1.6,184,0,0,0,0,0,0,0,0,22.8,11,国五,上汽通用别克,中型车
44,6.39,0,2761,1.8,160,1,0,1,1,1,1,0,0,23.7,8,国四,上汽斯柯达,中型车
11,3.43,0,2590,1.6,125,1,1,0,1,1,1,0,0,17,8.6,国五,北京现代,小型SUV
28,4.94,0,2690,1.6,177,0,0,0,0,0,0,0,0,26,11,国五,长安福特,紧凑型SUV
42,9.57,0,2700,1.6,128,1,0,1,0,1,0,0,1,14.4,5.8,国四,北京现代,紧凑型车
51,5.71,0,3088,3,258,1,1,1,1,1,1,0,0,42.1,18.7,国四,上汽通用别克,MPV
17,2.45,0,2705,1.5,109,1,0,1,1,1,1,1,0,28.2,9.8,国五,上汽集团,紧凑型车
36,4.84,0,2707,2.4,167,1,0,1,0,1,1,0,0,22.8,9.2,国四,上汽通用雪佛兰,中型SUV
2,7.2,0,2670,1.5,154,1,0,1,1,1,1,0,0,23.9,10.8,国五,比亚迪,紧凑型车
67,9.38,0,2568,2,95,0,0,0,0,0,0,0,0,25.8,7,国四,奔驰(进口),紧凑型车
11,7.35,0,3088,3,258,0,0,0,0,0,0,0,0,40.2,21,国五,上汽通用别克,MPV
26,6.97,1,2640,1.8,124,1,0,0,1,1,1,0,0,11.4,5,国四,长安福特,紧凑型车
22,4.13,0,2737,2.4,186,1,0,1,0,1,0,0,1,22.2,8.68,国五,上汽通用雪佛兰,中型车
35,6.07,0,2530,1.5,110,1,0,0,0,1,0,0,1,13.9,5.5,国四,长安福特,小型SUV
1,1.35,0,2720,2,205,0,0,0,0,0,0,0,0,30.4,16.5,国五,比亚迪,中型SUV
40,1.9,0,2648,1.6,125,0,0,0,0,0,0,0,1,14.2,6,国四,长安福特,紧凑型车
41,5.86,0,2640,2,165,0,0,0,0,0,0,0,0,21.3,8,国四,北京现代,紧凑型SUV
19,1.26,0,2700,1.8,133,1,0,0,1,1,1,0,0,10.5,7.99,国五,吉利汽车,紧凑型车
30,5.3,0,2775,2.4,186,1,0,1,1,1,0,0,0,24.9,13.8,国四,广汽本田,中型车
44,7.93,0,2707,2.4,167,0,0,0,0,0,0,0,1,28.6,8.9,国四,上汽通用雪佛兰,中型SUV
47,8.47,0,2500,1.6,109,0,0,0,0,0,0,0,1,11.8,3.4,国四,长安铃木,紧凑型车
16,2.77,0,2648,1.6,125,0,0,0,1,0,1,0,0,14.2,6.59,国四,长安福特,紧凑型车
92,12.06,0,2909,3,238,1,0,1,1,1,1,0,0,74.7,10,国三,捷豹,中大型车
10,6.55,0,2850,2,242,1,0,0,1,1,1,1,0,26.4,13.12,国四,长安福特,中型车
7,12.71,0,2737,2,154,1,0,1,0,1,0,0,0,20.3,8.54,国四,上汽通用雪佛兰,中型车
62,7.21,0,2467,1.6,184,1,1,1,0,1,0,0,0,39,11.7,国四,MINI,小型车
26,2.07,0,2685,1.6,184,1,0,1,0,1,0,0,0,18.6,6.69,国五,上汽通用别克,紧凑型车
23,6.96,0,2775,2,150,1,0,0,0,0,0,0,0,19.5,11.47,国五,广汽丰田,中型车
21,9.02,0,3088,3,258,0,0,0,0,0,0,0,0,43.4,18.73,国五,上汽通用别克,MPV
52,3.79,1,2610,1.5,106,0,0,0,0,0,0,0,1,7,1.8,国四,长城汽车,紧凑型车
68,8.13,1,2600,1.6,109,0,0,0,0,1,0,0,0,11.6,3,国四,东风日产,紧凑型车
2,6.66,0,2637,1.4,150,1,0,1,0,1,0,0,1,19.9,11.8,国五,一汽-大众,紧凑型车
17,4.16,0,2530,1.5,110,1,0,0,0,1,0,0,1,13.9,5.8,国五,长安福特,小型SUV
22,7.02,0,2678,1.4,131,1,0,1,0,1,0,0,0,19.7,8.25,国四,上汽大众,MPV
59,2.79,1,2610,1.6,105,0,0,0,0,0,0,0,1,12.2,4.6,国四,上汽大众,紧凑型车
44,10.36,0,2795,2,165,1,0,1,0,1,0,0,0,20.6,7,国四,北京现代,中型车
41,5.39,0,2737,2,147,1,0,1,0,1,0,0,0,22.1,7.69,国四,上汽通用别克,中型车
44,9.38,0,2615,2.5,171,1,0,1,1,0,0,0,0,29.3,9.92,国四,斯巴鲁,紧凑型SUV
59,8.87,0,2610,1.6,105,0,0,0,0,0,0,0,1,13,3.97,国四,一汽-大众,紧凑型车
22,3.75,0,2800,2.5,235,1,0,1,1,1,0,0,1,45.5,18.64,国四,英菲尼迪(进口),中型SUV
8,5.54,0,2670,1.5,154,1,0,1,1,1,1,0,1,23.9,10.76,国五,比亚迪,紧凑型车
57,7.18,0,2815,2.3,171,1,0,1,1,1,1,0,1,24.9,7.02,国四,东风标致,中型车
7,11.64,0,2670,1.5,154,0,0,0,0,0,0,0,0,23.9,8,国五,比亚迪,紧凑型车
45,14.89,0,2776,2,214,1,0,1,0,1,0,0,0,35,11,国四,沃尔沃(进口),中型车
19,6.25,0,2850,2,211,1,0,1,1,1,1,0,0,40.1,17.26,国五,英菲尼迪(进口),中型车
63,8.49,0,2604,2,170,1,1,1,1,1,1,0,0,41.8,9.1,国四,大众(进口),紧凑型SUV
28,4.25,0,2795,2,162,0,0,0,0,0,0,0,0,19.4,9.5,国四,东风悦达起亚,中型车
52,7.02,0,2684,2,200,1,1,1,1,1,1,0,1,33.6,12.2,国四,上汽大众,紧凑型SUV
50,6.86,1,2710,1.8,143,1,0,1,0,1,0,0,0,8.3,2.8,国四,江淮汽车,紧凑型车
44,10.02,0,2825,2,243,1,1,1,1,1,1,0,0,38.7,18,国四,福特(进口),中型SUV
52,18.84,0,2893,3,290,0,0,0,0,0,0,0,0,85.8,28,国五,大众(进口),中大型SUV
67,3.74,0,2610,1.6,106,0,0,0,0,1,0,0,1,12.9,2.98,国四,东风雪铁龙,紧凑型车
20,4.64,0,2670,1.5,154,1,0,1,1,1,1,0,0,22.8,7.7,国五,比亚迪,紧凑型车
51,8.99,1,2525,1.4,103,0,0,0,0,0,0,0,0,9.5,2.6,国四,上汽通用雪佛兰,小型车
1,4.37,1,2570,1.4,107,0,0,0,0,1,0,0,1,8.5,4.5,国五,东风悦达起亚,小型车
15,2.75,0,2670,1.5,154,0,0,0,0,0,0,0,0,22.8,9,国五,比亚迪,紧凑型车
